Date,Open,High,Low,Close,Volume
19-Jun-17,223.43,227.04,223.11,226.13,2900873
16-Jun-17,222.65,223.67,221.13,221.81,3758320
15-Jun-17,224.81,226.35,222.80,223.23,3378908
14-Jun-17,222.99,226.94,221.76,226.51,3652867
13-Jun-17,223.35,226.80,222.77,224.20,2767809
12-Jun-17,223.63,225.23,219.65,221.91,3388246
9-Jun-17,220.83,223.85,219.75,222.44,4455389
8-Jun-17,215.56,221.00,214.63,218.76,3765607
7-Jun-17,215.37,217.23,214.31,215.78,2679400
6-Jun-17,212.51,216.02,212.48,214.53,2891323
5-Jun-17,213.08,215.81,212.68,213.99,2696644
2-Jun-17,212.94,215.21,211.91,213.31,3692017
1-Jun-17,212.61,215.93,210.79,215.01,4057944
31-May-17,218.24,218.30,209.62,211.26,8311998
30-May-17,221.83,222.44,218.01,218.42,3097752
26-May-17,222.01,224.23,221.18,223.53,1787060
25-May-17,224.41,225.45,222.30,222.47,2640017
24-May-17,220.00,224.40,219.45,223.83,4156079
23-May-17,215.97,220.79,214.66,219.64,3308804
22-May-17,217.37,217.64,215.40,216.02,2506111
19-May-17,214.87,217.80,214.00,215.39,3747072
18-May-17,214.00,217.61,213.86,215.16,4792351
17-May-17,221.73,222.16,213.12,213.72,7525741
16-May-17,225.44,226.82,224.41,225.60,1710650
15-May-17,223.13,226.57,222.85,225.12,2468056
12-May-17,223.49,224.49,222.48,222.82,2166084
11-May-17,224.35,225.09,222.15,224.76,2440345
10-May-17,223.46,225.35,223.06,224.88,2630391
9-May-17,225.47,226.56,222.93,223.76,2145374
8-May-17,226.75,227.34,224.60,225.03,2316814
5-May-17,226.88,227.47,225.30,226.87,2435823
4-May-17,228.26,228.89,224.81,226.59,2935435
3-May-17,224.45,226.69,224.32,226.31,3042164
2-May-17,224.86,225.84,223.18,225.12,2602378
1-May-17,224.90,226.39,220.93,224.85,3004791
28-Apr-17,225.31,226.77,223.72,223.80,2936589
27-Apr-17,226.70,226.70,223.52,225.81,2805768
26-Apr-17,227.10,229.36,226.09,226.20,3765254
25-Apr-17,226.20,227.98,225.15,226.63,3996884
24-Apr-17,221.18,224.81,220.30,223.22,5353490
21-Apr-17,218.55,219.18,216.38,216.86,3845675
20-Apr-17,215.50,218.98,215.00,218.06,5168225
19-Apr-17,215.87,217.18,213.61,214.09,6428792
18-Apr-17,219.32,219.89,213.18,215.59,12464020
17-Apr-17,223.90,226.88,223.02,226.26,4190874
13-Apr-17,225.18,228.17,223.08,223.32,3653655
12-Apr-17,227.65,228.25,225.23,225.75,2947529
11-Apr-17,227.78,229.40,225.39,227.74,3374674
10-Apr-17,228.00,229.79,226.95,228.89,2653919
7-Apr-17,226.60,228.83,226.23,227.88,2853284
6-Apr-17,227.09,230.12,225.71,228.64,2927189
5-Apr-17,232.15,232.89,227.31,227.66,5286925
4-Apr-17,227.72,230.69,227.28,229.26,3042692
3-Apr-17,230.00,230.10,225.57,228.96,3735559
31-Mar-17,230.53,230.80,228.73,229.72,2858414
30-Mar-17,229.48,232.00,229.38,231.22,3156815
29-Mar-17,229.39,229.96,227.52,228.45,2635989
28-Mar-17,225.58,229.75,225.10,229.33,4471227
27-Mar-17,223.30,227.07,220.85,225.48,9194797
24-Mar-17,233.00,233.70,226.97,228.41,6387341
23-Mar-17,230.75,234.63,229.95,231.90,4770674
22-Mar-17,231.22,232.92,229.16,231.07,6291278
21-Mar-17,243.31,243.31,232.79,233.00,5660889
20-Mar-17,243.32,244.93,241.52,242.14,2759141
17-Mar-17,249.68,249.68,243.86,243.94,5438111
16-Mar-17,247.85,250.20,247.31,248.22,2940620
15-Mar-17,248.35,250.28,245.56,246.78,3427047
14-Mar-17,246.81,247.83,245.41,247.72,2144231
13-Mar-17,249.32,249.32,247.21,248.16,1801062
10-Mar-17,251.84,251.90,246.87,248.38,3365853
9-Mar-17,251.22,252.74,249.52,250.18,3061457
8-Mar-17,253.62,254.77,249.61,250.24,3584206
7-Mar-17,252.49,253.00,250.31,250.90,2497340
6-Mar-17,252.17,252.73,250.50,252.01,2467023
3-Mar-17,251.73,254.75,251.50,252.89,3169639
2-Mar-17,253.52,254.24,250.97,251.06,3020047
1-Mar-17,253.71,255.15,251.26,252.71,5218289
28-Feb-17,248.00,249.00,245.61,248.06,3627095
27-Feb-17,247.21,249.76,246.61,249.33,2373359
24-Feb-17,247.70,248.88,246.10,247.35,3565388
23-Feb-17,251.31,251.90,249.32,251.19,2594747
22-Feb-17,250.06,252.35,250.00,251.73,2378769
21-Feb-17,251.00,252.65,250.71,251.76,2794893
17-Feb-17,247.51,250.56,247.11,250.38,3262325
16-Feb-17,250.30,250.78,248.44,249.44,2286305
15-Feb-17,250.58,251.95,248.51,250.54,4296636
14-Feb-17,246.01,250.00,245.69,249.46,4141460
13-Feb-17,244.49,247.48,244.49,246.27,2998225
10-Feb-17,243.37,244.16,241.23,242.72,3072771
9-Feb-17,238.80,243.29,237.42,241.55,3550836
8-Feb-17,238.30,238.94,236.31,237.73,2744667
7-Feb-17,241.15,241.44,239.39,239.62,2660247
6-Feb-17,239.60,243.65,239.17,239.98,4639232
3-Feb-17,234.52,241.11,234.20,240.95,7381005
2-Feb-17,228.51,232.33,227.05,230.41,2775736
1-Feb-17,230.51,232.86,229.52,230.67,4024490
31-Jan-17,232.85,234.35,228.16,229.32,5156419
30-Jan-17,235.58,236.29,231.52,233.90,3803259
27-Jan-17,236.90,237.97,236.01,236.95,3253114
26-Jan-17,237.47,240.79,237.47,239.58,4195574
25-Jan-17,235.53,237.33,234.48,237.25,3716771
24-Jan-17,231.86,236.06,230.84,233.68,4448152
23-Jan-17,231.86,233.75,230.75,232.67,3136161
20-Jan-17,231.62,233.23,230.54,232.20,5211836
19-Jan-17,234.07,234.75,230.62,231.41,4561821
18-Jan-17,236.00,237.69,231.52,234.29,7590482
17-Jan-17,242.94,243.06,235.61,235.74,6277192
13-Jan-17,245.43,247.77,242.91,244.30,4186076
12-Jan-17,245.06,245.47,241.57,243.84,4022328
11-Jan-17,242.77,245.84,242.00,245.76,3532563
10-Jan-17,240.87,243.44,239.05,242.57,3432904
9-Jan-17,243.25,244.69,241.47,242.89,3022766
6-Jan-17,242.29,246.20,241.37,244.90,3591079
5-Jan-17,242.72,243.23,236.78,241.32,3562618
4-Jan-17,241.44,243.32,240.03,243.13,2728709
3-Jan-17,242.70,244.97,237.97,241.57,4384246
30-Dec-16,238.51,240.50,237.40,239.45,2355544
29-Dec-16,240.75,241.07,236.64,238.18,2619021
28-Dec-16,243.69,244.50,240.44,240.65,3052978
27-Dec-16,241.95,242.59,240.40,241.56,1998164
23-Dec-16,239.54,241.90,238.91,240.97,2187498
22-Dec-16,241.23,242.86,239.55,240.12,2637229
21-Dec-16,242.24,242.40,240.08,241.44,3277750
20-Dec-16,240.52,243.65,240.23,243.09,4487687
19-Dec-16,238.34,239.74,236.26,239.07,3743284
16-Dec-16,242.80,243.19,238.40,238.90,6876447
15-Dec-16,242.49,245.57,241.62,243.00,4829694
14-Dec-16,235.67,243.12,235.37,239.93,6172391
13-Dec-16,239.00,240.18,235.50,238.55,4680464
12-Dec-16,240.50,242.83,236.37,237.17,5022038
9-Dec-16,240.61,242.00,238.88,241.85,5456047
8-Dec-16,236.88,242.42,236.00,241.45,7343669
7-Dec-16,230.40,236.09,230.40,235.56,6595232
6-Dec-16,230.18,232.67,227.90,231.38,5259347
5-Dec-16,225.52,229.20,225.24,228.55,4599300
2-Dec-16,226.00,226.25,221.22,223.36,5297420
1-Dec-16,220.93,227.16,220.35,226.63,7606546
30-Nov-16,215.20,220.77,214.97,219.29,6507871
29-Nov-16,209.99,212.92,209.92,211.75,2577591
28-Nov-16,210.00,211.76,209.60,210.35,3297394
25-Nov-16,211.36,212.75,211.00,211.38,1973959
23-Nov-16,211.50,213.41,209.37,212.31,3734360
22-Nov-16,211.36,211.95,209.89,211.11,2945664
21-Nov-16,211.46,211.69,209.18,211.08,2860229
18-Nov-16,209.87,212.07,209.72,210.35,4278161
17-Nov-16,206.26,209.69,205.67,209.63,3560820
16-Nov-16,207.35,208.08,204.83,206.26,5276156
15-Nov-16,206.56,211.20,205.17,211.19,4893793
14-Nov-16,204.15,211.77,204.15,209.18,8248097
11-Nov-16,198.25,205.00,198.25,203.94,6290179
10-Nov-16,194.53,204.67,194.00,200.87,11345422
9-Nov-16,185.00,193.54,183.45,192.63,7823835
8-Nov-16,180.11,182.68,178.46,181.92,2646158
7-Nov-16,179.00,181.50,179.00,181.48,3338783
4-Nov-16,176.33,177.34,174.73,175.92,1846465
3-Nov-16,176.77,177.97,176.21,176.21,1972746
2-Nov-16,177.07,177.50,176.07,176.58,2104770
1-Nov-16,179.00,179.18,176.61,178.06,2900633
31-Oct-16,177.68,178.50,177.23,178.24,1828180
28-Oct-16,178.51,178.51,175.46,177.14,2042775
27-Oct-16,178.19,178.85,176.57,177.75,3021949
26-Oct-16,174.79,177.90,173.93,177.07,2533800
25-Oct-16,175.04,175.96,174.64,175.55,2423299
24-Oct-16,175.50,175.79,174.35,175.12,1943200
21-Oct-16,172.84,174.90,172.51,174.67,2004401
20-Oct-16,174.00,175.79,173.80,174.51,2471135
19-Oct-16,173.37,175.68,173.18,174.51,3676036
18-Oct-16,172.01,173.47,171.10,172.63,4482486
17-Oct-16,170.50,171.27,168.45,169.00,3061380
14-Oct-16,171.60,172.95,169.11,170.52,5282325
13-Oct-16,167.60,167.63,165.51,167.42,2713705
12-Oct-16,169.04,169.99,168.30,169.30,2404792
11-Oct-16,169.84,170.87,167.91,169.04,2679967
10-Oct-16,170.52,171.75,170.10,171.04,2532001
7-Oct-16,167.50,169.98,166.24,169.83,3390244
6-Oct-16,167.18,167.29,164.82,167.15,2858217
5-Oct-16,163.32,166.57,163.00,166.40,2548215
4-Oct-16,161.24,164.15,161.23,162.27,2469912
3-Oct-16,160.50,161.72,160.25,161.07,2444718
30-Sep-16,159.95,162.41,157.80,161.27,4497189
29-Sep-16,163.38,163.96,157.77,158.95,3733830
28-Sep-16,163.34,163.79,161.68,163.45,1678107
27-Sep-16,160.72,163.45,159.82,162.89,2602686
26-Sep-16,163.83,163.97,161.00,161.48,2772196
23-Sep-16,167.75,168.10,165.05,165.13,3421183
22-Sep-16,168.45,169.33,167.70,168.02,2467664
21-Sep-16,167.42,168.28,165.93,167.03,2333687
20-Sep-16,167.68,168.28,166.39,166.47,1533159
19-Sep-16,167.34,168.31,165.68,166.21,2030742
16-Sep-16,167.85,168.05,165.61,166.00,4534927
15-Sep-16,165.78,168.76,165.76,168.08,1666130
14-Sep-16,167.00,167.86,165.59,166.16,1995901
13-Sep-16,168.54,169.97,166.38,167.00,2788205
12-Sep-16,167.01,171.67,166.23,171.06,2647877
9-Sep-16,170.83,172.42,168.51,168.57,3411750
8-Sep-16,169.35,171.88,168.71,171.66,3031625
7-Sep-16,168.70,170.21,168.65,169.67,1584347
6-Sep-16,168.72,169.79,167.46,169.33,2034947
2-Sep-16,168.52,169.74,167.90,169.18,1747492
1-Sep-16,170.00,170.07,166.66,168.51,2843274
31-Aug-16,169.25,170.24,167.47,169.46,3688209
30-Aug-16,166.69,169.51,166.44,169.37,2934067
29-Aug-16,166.60,167.86,166.15,166.87,2620945
26-Aug-16,166.76,168.07,165.36,165.97,2402214
25-Aug-16,165.08,166.04,164.61,165.90,1441362
24-Aug-16,165.78,166.70,164.85,165.30,2035311
23-Aug-16,167.00,167.85,165.98,166.08,1965548
22-Aug-16,166.00,166.91,164.89,166.26,1448111
19-Aug-16,165.36,166.90,164.50,166.23,1840878
18-Aug-16,165.34,166.56,164.63,166.06,1750624
